cve-id,published_date,updated_date,cvss_score,os_name_versions,os_version_specified,Other_Environment_Restrictions,matadonnées_conformitie,patch_availability,lien_vers_le_patch,patch_datemitigation_measures,Metigation_availability
CVE-2014-0160,2014-04-07T23:55:03.893000+01:00,2024-07-02T17:52:39.560000+01:00,7.5,"Linux all versions, Ubuntu 12.04, 12.10, 13.10, Debian 6.0, 7.0, 8.0, Fedora 19, 20, Red Hat 6.0, 6.5, Mageia 3, 4, OpenSUSE 12.3, 13.1",Yes,Yes,1,Yes,http://www.openssl.org/source/,2014-04-08,N/A,No
CVE-2014-0224,2014-06-05T22:55:07.817000+01:00,2023-11-07T03:18:13.190000+01:00,7.4,"Red Hat Enterprise Linux 4, Fedora 5, openSUSE 6.0, Windows 19, Linux 20",Yes,Yes,1,No,N/A,N/A,"{'measures': ['Upgrade OpenSSL to a version that is not vulnerable to CVE-2014-0224, specifically versions 0.9.8za, 1.0.0m, or 1.0.1h or later.', 'Implement strict input validation to prevent malformed ChangeCipherSpec messages.', 'Utilize a Web Application Firewall (WAF) to filter and monitor traffic for suspicious activity related to TLS handshakes.', 'Regularly audit and monitor your systems for unusual behavior or unauthorized access attempts.', 'Consider using alternative cryptographic libraries that are not affected by this vulnerability.'], 'technical_adjustments': ['Disable support for older versions of TLS that are susceptible to CCS injection.', 'Configure servers to reject connections that do not meet security standards.'], 'immediate_containment': ['Isolate affected systems from the network until they can be patched or upgraded.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates to all software components.'], 'security_best_practices': ['Conduct regular security training for staff to recognize and respond to potential security threats.', 'Implement multi-factor authentication to enhance access control.']}",Yes
CVE-2014-1776,2014-04-27T11:55:03.340000+01:00,2024-07-24T17:47:41.447000+01:00,9.8,Windows all versions,No,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2014/ms14-021,2024-07-24,N/A,No
CVE-2014-3566,2014-10-15T01:55:02.137000+01:00,2023-09-12T15:55:31.563000+01:00,3.4,"Red Hat Enterprise Linux 5, Red Hat Enterprise Linux Desktop 6.0, Red Hat Enterprise Linux Server 7.0, Red Hat Enterprise Linux Workstation 6.0, IBM AIX 5.3, macOS 6.1, Mageia 7.1, SUSE Linux Enterprise Desktop all versions, SUSE Linux Enterprise Server 9.0, openSUSE 10.0, Fedora 11.0, Debian 12.0, Oracle Database 12.3",Yes,Yes,0,Yes,https://access.redhat.com/articles/1232123,2023-09-12,N/A,No
CVE-2014-6271,2014-09-24T19:48:04.477000+01:00,2024-07-24T17:47:47.667000+01:00,9.8,"Debian 7.0, Ubuntu 10.04, Red Hat Enterprise Linux 4, 5, 6, 7, Oracle Linux 4, 5, 6, Mageia 3.0, 4.0, Arista EOS 4.9.0 to 4.14.4f, QNAP QTS 4.1.1 and earlier, SUSE Linux Enterprise 10 SP3, 11, 12, macOS 10.0.0 to 10.10.0, VMware ESXi 4.0, 4.1",Yes,Yes,1,Yes,http://advisories.mageia.org/MGASA-2014-0388.html,2014-09-24,N/A,No
CVE-2014-3704,2014-10-16T01:55:06.653000+01:00,2021-09-29T15:08:04.473000+01:00,0.0,"Debian 7.0, Linux all versions",Yes,Yes,1,Yes,https://www.drupal.org/SA-CORE-2014-005,2014-10-15,N/A,No
CVE-2014-4114,2014-10-15T11:55:07.817000+01:00,2024-07-16T18:23:54.207000+01:00,7.8,Windows Vista SP2,Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2014/ms14-060,2024-07-16,N/A,No
CVE-2014-4113,2014-10-15T11:55:07.473000+01:00,2024-07-02T17:57:12.317000+01:00,7.8,Windows Server 2003 SP2,Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2014/ms14-058,2024-07-02,N/A,No
CVE-2014-7169,2014-09-25T02:55:04.367000+01:00,2024-07-24T17:47:57.690000+01:00,9.8,"Linux all versions, macOS 10.0.0 to 10.10.0, QNAP QTS 4.1.1 Build 0927 and earlier, Oracle Linux 4.x, Red Hat Enterprise Linux 4.x to 7.x, Ubuntu 10.04, 12.04, 14.04, Mageia 3.0, 4.0, SUSE Linux 11 SP3, 12, Debian 7.0",Yes,Yes,1,Yes,http://advisories.mageia.org/MGASA-2014-0393.html,2014-09-28,N/A,No
CVE-2014-0569,2014-10-15T11:55:06.193000+01:00,2021-11-10T18:11:07.083000+01:00,0.0,"Windows all versions, Linux before 11.2.202.411, macOS before 10.15",Yes,Yes,1,Yes,http://helpx.adobe.com/security/products/flash-player/apsb14-22.html,2024-09-23,N/A,No
CVE-2015-0311,2015-01-23T21:59:04.897000+00:00,2024-07-02T18:41:45.947000+01:00,9.8,"Windows all versions, macOS all versions, Linux 11.2.202.438 and earlier",Yes,Yes,1,Yes,http://helpx.adobe.com/security/products/flash-player/apsa15-01.html,2015-01-24,N/A,No
CVE-2015-0313,2015-02-02T19:59:00.053000+00:00,2024-07-02T18:41:33.407000+01:00,9.8,"Windows all versions, Linux before 11.2.202.442, macOS before 13.0.0.269 and 14.x through 16.x before 16.0.0.305",Yes,Yes,1,Yes,https://helpx.adobe.com/security/products/flash-player/apsb15-04.html,2015-02-07,N/A,No
CVE-2015-0336,2015-03-13T17:59:04.083000+00:00,2017-07-01T01:29:12.343000+00:00,0.0,"Windows all versions, macOS all versions, Linux 11.2.202.451 and below, openSUSE 13.1, 13.2, SUSE Linux Enterprise Desktop 12, 11 SP3",Yes,Yes,1,Yes,https://helpx.adobe.com/security/products/flash-player/apsb15-05.html,2015-03-13,N/A,No
CVE-2015-0359,2015-04-14T23:59:12.680000+01:00,2017-10-07T02:29:00.507000+01:00,0.0,"Windows all versions, Linux before 11.2.202.457, macOS before 13.0.0.281 and 14.x through 17.x before 17.0.0.169",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2015-0359.html,2015-04-15,N/A,No
CVE-2015-1635,2015-04-14T21:59:01.263000+01:00,2019-05-14T19:53:21.813000+00:00,0.0,Windows 7 SP1,Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-034,2015-04-14,N/A,No
CVE-2015-1701,2015-04-21T11:59:00.073000+01:00,2024-07-16T18:34:33.033000+01:00,7.8,Windows 2003 SP2,Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-051,2015-04-21,N/A,No
CVE-2015-2426,2015-07-20T19:59:01.210000+01:00,2019-05-15T15:23:31.857000+00:00,0.0,Windows Vista SP2,Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-078,2015-07-20,N/A,No
CVE-2015-2545,2015-09-09T01:59:52.190000+01:00,2024-07-16T18:39:18.637000+01:00,7.8,"Windows all versions, macOS 2011, 2016",Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-099,2023-01-03,N/A,No
CVE-2015-5119,2015-07-08T14:59:05.677000+00:00,2024-07-16T18:24:10.387000+01:00,9.8,"Windows all versions, macOS all versions, Linux 11.x through 11.2.202.468, openSUSE 13.1, 13.2, Evergreen 11.4, Red Hat Enterprise Linux 5.0, 6.0, 6.6",Yes,Yes,1,Yes,http://lists.opensuse.org/opensuse-security-announce/2015-07/msg00015.html,2015-07-08,N/A,No
CVE-2015-5122,2015-07-14T10:59:00.213000+00:00,2024-07-02T18:42:40.230000+01:00,9.8,"Windows 13.x through 13.0.0.302, macOS 14.x through 18.0.0.203, Linux 11.x through 11.2.202.481, openSUSE 12, SUSE Linux Enterprise Desktop 11-SP3, SUSE Linux Enterprise Workstation Extension 11-SP4",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2015-5122.html,2015-07-18,N/A,No
CVE-2016-0189,2016-05-11T02:59:30.537000+01:00,2024-07-09T19:25:02.227000+01:00,7.5,Windows all versions,No,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-051,2023-01-03,N/A,No
CVE-2016-0728,2016-02-08T03:59:10.887000+00:00,2023-02-13T00:15:55.107000+01:00,7.8,"Android 4.0 - 6.0.1, Linux 3.8 - 4.4, Debian 8.0, Ubuntu 12.04 - 15.10",Yes,Yes,1,Yes,http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=23567fd052a9abb6d67fe8e7a9ccdd9800a540f2,2016-01-20,N/A,No
CVE-2016-0800,2016-03-01T20:59:00.253000+00:00,2022-12-13T13:15:19.773000+01:00,0.0,"SUSE Linux Enterprise Server 12, SUSE Linux Enterprise Desktop 12, iOS all versions, Linux all versions",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2016-0800.html,2016-03-01,N/A,No
CVE-2016-1019,2016-04-07T11:59:01.447000+01:00,2022-11-10T21:10:39.387000+01:00,9.8,"Windows all versions, macOS all versions, openSUSE 13.2, SUSE Linux Enterprise 12-SP1, 12",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2016-1019.html,2016-04-08,N/A,No
CVE-2016-2107,2016-05-05T02:59:03.200000+01:00,2024-02-16T20:19:33.320000+01:00,5.9,"Red Hat Enterprise Linux 7.0, openSUSE 6.0, Android 4.0, Debian 8.0, Ubuntu 12.04",Yes,Yes,0,No,N/A,N/A,"{'recommendations': ['Implement input validation to prevent malformed data from being processed.', 'Use a Web Application Firewall (WAF) to filter and monitor HTTP traffic.', 'Regularly audit your systems for vulnerabilities and apply security patches promptly.', 'Monitor logs for unusual activity that may indicate an attempted exploit.', 'Consider using alternative encryption methods that are not susceptible to padding oracle attacks.'], 'technical_adjustments': ['Disable the use of vulnerable AES CBC ciphers if possible.', 'Configure your application to use authenticated encryption modes such as GCM or CCM.'], 'immediate_containment': ['Isolate affected systems from the network until a patch or fix is applied.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Review and update security policies to include measures against padding oracle attacks.'], 'attack_vectors': ['Remote attackers may exploit this vulnerability to gain access to sensitive information through crafted requests.'], 'security_best_practices': ['Educate staff on security awareness and the importance of applying updates.', 'Conduct regular penetration testing to identify and remediate vulnerabilities.']}",Yes
CVE-2016-4117,2016-05-11T02:59:46.137000+01:00,2024-07-16T18:34:10.403000+01:00,9.8,"Windows all versions, macOS all versions, Linux all versions, Chrome OS all versions, openSUSE 13.2 NonFree, SUSE Linux Enterprise Desktop 12, SUSE Linux Enterprise Workstation Extension 12-SP1, SUSE Linux Enterprise Server 12",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2016-4117.html,2024-07-16,N/A,No
CVE-2016-5195,2016-11-10T21:59:00.197000+00:00,2024-07-24T15:27:14.490000+01:00,7.0,Linux 2.x,Yes,Yes,1,Yes,http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=19be0eaffa3ac7d8eb6784ad9bdbc7d67ed8e619,2016-10-18,N/A,No
CVE-2016-7056,2018-09-10T17:29:00.543000+01:00,2023-02-13T00:25:16.890000+01:00,0.0,"Debian 8.0, Red Hat Enterprise Linux 9.0, Ubuntu 6.0",Yes,Yes,1,Yes,https://access.redhat.com/articles/11258,2017-06-07,N/A,No
CVE-2016-1010,2016-03-12T15:59:25.090000+00:00,2022-12-14T19:33:15.940000+01:00,8.8,"Windows all versions, macOS all versions, Linux before 11.2.202.577, SUSE Linux Enterprise 12-SP1, 12, openSUSE 13.2 NonFree",Yes,Yes,1,Yes,https://helpx.adobe.com/security/products/flash-player/apsb16-08.html,2016-03-12,N/A,No
CVE-2016-6277,2016-12-14T16:59:00.350000+00:00,2024-07-16T18:43:58.997000+01:00,8.8,Netgear Router Firmware all versions,No,Yes,1,Yes,http://kb.netgear.com/000036386/CVE-2016-582384,2023-10-03,N/A,No
CVE-2017-0144,2017-03-17T00:59:04.010000+00:00,2024-07-24T17:03:46.547000+01:00,8.8,Windows Vista SP2,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0144,2024-07-24,N/A,No
CVE-2017-0145,2017-03-17T00:59:04.040000+00:00,2024-07-24T17:22:57.507000+01:00,8.8,Windows Vista SP2,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0145,2024-07-24,N/A,No
CVE-2017-0199,2017-04-12T15:59:01.157000+01:00,2024-07-24T18:11:35.740000+01:00,7.8,Windows Vista SP2,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0199,2024-07-24,N/A,No
CVE-2017-0261,2017-05-12T15:29:04.987000+01:00,2024-07-16T18:33:27.907000+01:00,7.8,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0261,2024-07-16,N/A,No
CVE-2017-5638,2017-03-11T02:59:00.150000+00:00,2024-07-25T14:58:42.913000+01:00,9.8,"Linux all versions, Windows all versions, macOS all versions",No,Yes,1,Yes,http://www.oracle.com/technetwork/security-advisory/cpujul2017-3236622.html,2017-07-25,N/A,No
CVE-2017-5715,2018-01-04T13:29:00.227000+00:00,2021-08-16T10:15:06.987000+01:00,5.6,"SUSE Linux Enterprise Server 12-SP1, 12-SP2, 12-SP3, 12-LTSS, 12-SP1-LTSS, 12-SP3, 12-SP2, SUSE Linux Enterprise Desktop 12.04, 14.04, 16.04, 17.04, 17.10, 18.04, Ubuntu 7.0, 8.0, 9.0",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2017-5715.html,2021-08-16,N/A,No
CVE-2017-5753,2018-01-04T13:29:00.257000+00:00,2021-11-23T23:14:00.490000+01:00,5.6,"SUSE Linux Enterprise Server 12-SP3, SUSE Linux Enterprise Desktop 12-SP3, openSUSE 12.04, Debian 8.0, Ubuntu 14.04, Oracle Solaris 16.04, VMware ESXi 5.5.0",Yes,Yes,1,Yes,http://lists.opensuse.org/opensuse-security-announce/2018-01/msg00006.html,2018-01-04,N/A,No
CVE-2017-5754,2018-01-04T13:29:00.303000+00:00,2021-11-19T19:15:08.547000+01:00,0.0,"SUSE Linux Enterprise Server 12-SP3, SUSE Linux Enterprise Desktop 12-SP3, SUSE Linux Enterprise Workstation Extension 12-SP3, SUSE Linux Enterprise Software Development Kit 12-SP3, SUSE Linux Enterprise High Availability 12-SP3, SUSE Container as a Service Platform ALL",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2017-5754.html,2021-11-19,N/A,No
CVE-2017-7269,2017-03-27T03:59:00.453000+01:00,2024-07-25T15:01:24.977000+01:00,9.8,Windows Server 2003 R2,Yes,Yes,1,No,N/A,N/A,"{'recommendations': ['Disable the WebDAV service if not in use to prevent exploitation.', 'Implement strict input validation to limit the length of headers in requests.', 'Use a Web Application Firewall (WAF) to filter and monitor HTTP requests for malicious patterns.', 'Regularly audit your systems for vulnerabilities and apply security best practices.', 'Monitor logs for unusual activity, especially related to WebDAV requests.', 'Consider upgrading to a supported version of IIS or Windows Server to mitigate risks associated with outdated software.'], 'technical_adjustments': ['Modify IIS settings to restrict access to the WebDAV service.', 'Configure firewalls to block unnecessary ports and protocols.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Develop an incident response plan to address potential exploitation of vulnerabilities.']}",Yes
CVE-2017-11882,2017-11-15T03:29:01.890000+00:00,2021-03-16T18:21:45.660000+01:00,7.8,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-11882,2021-03-16,N/A,No
CVE-2018-4878,2018-02-06T21:29:00.347000+00:00,2022-04-18T14:26:17.847000+00:00,9.8,"Windows all versions, Linux all versions, macOS all versions, Red Hat Enterprise Linux 6.0",Yes,Yes,1,No,N/A,N/A,"{'recommendations': ['Disable Adobe Flash Player in your environment to prevent exploitation.', 'Implement strict input validation to mitigate the risk of malformed Flash objects.', 'Utilize a Web Application Firewall (WAF) to filter and monitor HTTP traffic for malicious payloads.', 'Regularly update and patch all software to minimize vulnerabilities.', 'Conduct security awareness training for users to recognize phishing attempts that may deliver malicious documents.', 'Monitor network traffic for unusual activity, especially related to Flash content and Excel documents.', 'Isolate systems that require Adobe Flash Player and limit their access to the internet.'], 'technical_adjustments': ['Configure endpoint protection solutions to block known malicious URLs associated with CVE-2018-4878.', 'Set up alerts for any attempts to access compromised websites identified in the advisory.'], 'long_term_risk_management': ['Develop a security policy that includes regular vulnerability assessments and penetration testing.', 'Consider transitioning away from Adobe Flash Player, as it is no longer supported and poses significant security risks.']}",Yes
CVE-2018-7600,2018-03-29T08:29:00.260000+01:00,2019-03-01T19:04:28.047000+01:00,0.0,Debian 7.0,Yes,Yes,1,No,N/A,N/A,"{'recommendations': ['Upgrade to Drupal version 7.58 or 8.3.9 and above to mitigate the vulnerability.', 'Implement input validation to prevent arbitrary code execution.', 'Use a Web Application Firewall (WAF) to filter and monitor HTTP requests.', 'Regularly audit your systems for vulnerabilities and apply security patches promptly.', 'Monitor logs for unusual activity that may indicate an attempted exploit.'], 'technical_adjustments': ['Disable any unnecessary modules that may expose vulnerabilities.', 'Review and tighten permissions for user roles within Drupal.'], 'containment_steps': ['Isolate affected systems from the network until they can be patched.', 'Implement rate limiting on web requests to reduce the risk of automated attacks.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Conduct security training for developers and administrators on secure coding practices.'], 'attack_vectors': ['Remote code execution through vulnerable Drupal installations.', 'Exploitation of misconfigured modules or permissions.'], 'alternative_solutions': ['Consider using a different content management system if vulnerabilities persist.', 'Evaluate third-party security solutions that can provide additional layers of protection.'], 'security_best_practices': ['Regularly back up your Drupal site and database.', 'Use strong, unique passwords for all user accounts.']}",Yes
CVE-2018-8174,2018-05-09T20:29:02.917000+01:00,2020-08-24T18:37:01.140000+01:00,0.0,Windows 7,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8174,2020-08-24,N/A,No
CVE-2018-8440,2018-09-13T01:29:04.333000+01:00,2019-10-03T01:03:26.223000+01:00,0.0,Windows 7,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8440,2018-09-13,N/A,No
CVE-2018-11776,2018-08-22T14:29:00.753000+01:00,2024-07-25T15:48:56.837000+01:00,8.1,"Windows all versions, VMware vSphere all versions, Linux all versions",No,Yes,0,Yes,http://www.oracle.com/technetwork/security-advisory/alert-cve-2018-11776-5072787.html,2024-07-25,N/A,No
CVE-2018-13379,2019-06-04T21:29:00.233000+00:00,2024-07-25T15:09:54.960000+01:00,9.8,"FortiOS 5.4.6 to 5.4.12, FortiProxy 1.0.0 to 1.2.8",Yes,Yes,1,Yes,https://fortiguard.com/advisory/FG-IR-18-384,2024-07-25,N/A,No
CVE-2018-15982,2019-01-18T18:29:01.573000+01:00,2019-01-29T20:24:27.440000+01:00,0.0,"Windows all versions, Linux all versions, macOS all versions, Red Hat Enterprise Linux 6.0",Yes,Yes,1,Yes,https://helpx.adobe.com/security/products/flash-player/apsb18-42.html,2024-09-23,N/A,No
CVE-2018-20250,2019-02-05T21:29:00.243000+01:00,2024-07-24T17:05:24.393000+01:00,7.8,Windows all versions,No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Restrict file extraction to trusted directories.', 'Implement strict input validation to prevent path traversal.', 'Use a Web Application Firewall (WAF) to filter malicious requests.'], 'immediate_containment': ['Isolate affected systems from the network until a patch is applied.', 'Monitor logs for unusual file extraction activities.'], 'enhanced_monitoring': ['Set up alerts for file extraction events in user profile directories.', 'Regularly review security logs for signs of exploitation.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Conduct security training for users on safe file handling practices.'], 'attack_vectors': ['Exploitation through crafted ACE files that bypass directory restrictions.', 'Potential for remote code execution if malicious files are extracted.'], 'alternative_solutions': ['Consider using alternative file compression tools that do not have this vulnerability.', 'Educate users on the risks of opening files from untrusted sources.'], 'security_best_practices': ['Regularly update all software to the latest versions.', 'Implement least privilege access controls for user accounts.']}",Yes
CVE-2018-10561,2018-05-04T04:29:00.227000+01:00,2019-03-04T19:39:11.630000+01:00,0.0,GPON Router Firmware all versions,No,Yes,1,No,N/A,N/A,"{'recommendations': ['Implement input validation to prevent unauthorized access.', 'Use a Web Application Firewall (WAF) to filter and monitor HTTP requests.', 'Regularly audit your systems for vulnerabilities and monitor for suspicious activity.', 'Isolate affected devices from the network until a patch is available.', 'Educate users about the risks associated with GPON routers and the importance of secure configurations.'], 'technical_adjustments': ['Disable remote management features on the router if not needed.', 'Change default credentials and use strong, unique passwords for device access.', ""Limit access to the router's management interface to trusted IP addresses only.""], 'long_term_risk_management': ['Engage with your ISP to inquire about firmware updates or replacements for vulnerable devices.', 'Establish a regular update schedule for all network devices to ensure they are running the latest firmware.'], 'attack_vectors': [""Exploitation of the authentication bypass by appending '?images' to URLs."", 'Command injection through diagnostic endpoints that allow execution of arbitrary commands.'], 'security_best_practices': ['Conduct regular penetration testing to identify and remediate vulnerabilities.', 'Implement network segmentation to limit the impact of potential breaches.']}",Yes
CVE-2018-10562,2018-05-04T04:29:00.287000+01:00,2019-10-03T01:03:26.223000+01:00,0.0,"Linux all versions, Windows all versions",No,Yes,1,No,N/A,N/A,"{'recommendations': ['Implement input validation on the dest_host parameter to prevent command injection.', 'Use a Web Application Firewall (WAF) to filter and monitor HTTP requests to the router.', 'Regularly audit router configurations and firmware versions to identify vulnerabilities.', 'Isolate vulnerable devices from critical network segments to limit potential impact.', 'Educate users about the risks associated with GPON routers and encourage them to contact their ISPs for updates.'], 'technical_adjustments': ['Disable remote management features on the router if not needed.', 'Change default credentials and use strong, unique passwords for router access.'], 'monitoring_actions': ['Set up logging and monitoring for unusual access patterns or command executions.', 'Implement automated alerts for suspicious activities related to router management.'], 'long_term_risk_management': ['Develop a security policy that includes regular updates and patch management for all network devices.', 'Consider replacing outdated hardware that is no longer supported by the manufacturer.'], 'attack_vectors': ['Command injection via the diag_action=ping request.', 'Exploitation of authentication bypass vulnerabilities to gain unauthorized access.'], 'best_practices': ['Regularly update all network devices with the latest firmware provided by the manufacturer.', 'Conduct penetration testing to identify and remediate vulnerabilities proactively.']}",Yes
CVE-2019-0708,2019-05-16T19:29:00.427000+00:00,2024-07-25T15:09:23.880000+01:00,9.8,Windows 7 SP1,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0708,2024-07-25,N/A,No
CVE-2019-11510,2019-05-08T17:29:00.630000+00:00,2024-07-25T17:20:01.487000+01:00,10.0,Linux all versions,No,Yes,1,No,N/A,N/A,"{'recommendations': ['Implement strict input validation to prevent unauthorized access to sensitive files.', 'Utilize a Web Application Firewall (WAF) to filter and monitor HTTP requests.', 'Regularly audit your systems for vulnerabilities and apply security patches promptly.', 'Isolate vulnerable systems from the internet and limit access to trusted networks only.', 'Enhance monitoring for unusual access patterns or attempts to exploit the vulnerability.', 'Consider implementing network segmentation to limit the impact of potential exploits.'], 'technical_adjustments': ['Disable unnecessary services and features in the Pulse Secure configuration.', 'Review and restrict file access permissions on the server to limit exposure.'], 'long_term_risk_management': ['Establish a routine for vulnerability assessments and penetration testing.', 'Develop a comprehensive incident response plan to address potential breaches.'], 'attack_vectors': ['Unauthenticated remote attackers can exploit the vulnerability by sending crafted URIs.', 'Potential consequences include unauthorized access to sensitive files, leading to data breaches.'], 'alternative_solutions': ['If possible, migrate to a newer version of Pulse Secure that is not affected by this vulnerability.', 'Consider using alternative VPN solutions that have a stronger security posture.'], 'security_best_practices': ['Regularly update all software components and dependencies.', 'Educate staff on security awareness and the importance of reporting suspicious activities.']}",Yes
CVE-2019-11580,2019-06-03T14:29:00.217000+00:00,2022-04-19T15:36:02.413000+00:00,9.8,"Linux all versions, Windows all versions, macOS all versions",No,Yes,1,Yes,https://www.atlassian.com/software/crowd/download,2022-04-19,N/A,No
