cve-id,published_date,updated_date,cvss_score,os_name_versions,os_version_specified,Other_Environment_Restrictions,matadonn√©es_conformitie,patch_availability,lien_vers_le_patch,patch_datemitigation_measures,Metigation_availability
CVE-2019-19781,2019-12-27T15:15:12.070000+01:00,2023-01-20T17:21:04.937000+01:00,9.8,"Linux all versions, Unix all versions",No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Implement strict input validation to prevent directory traversal attacks.', 'Configure web application firewalls (WAF) to block malicious requests targeting the vulnerability.'], 'immediate_containment': ['Isolate affected systems from the network until a patch is available.', 'Monitor logs for unusual access patterns that may indicate exploitation attempts.'], 'enhanced_monitoring': ['Set up alerts for any access to sensitive directories that should not be publicly accessible.', 'Regularly review access logs for anomalies.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Conduct security training for staff to recognize and respond to potential threats.'], 'attack_vectors': ['Attackers may exploit the vulnerability to access sensitive files on the server.', 'Potential consequences include data leakage, unauthorized access, and system compromise.'], 'alternative_solutions': ['Consider using alternative secure configurations or services that do not expose the vulnerable components.', 'Implement network segmentation to limit the impact of potential exploitation.'], 'security_best_practices': ['Regularly conduct vulnerability assessments and penetration testing.', 'Keep all software and dependencies up to date to minimize exposure to known vulnerabilities.']}",Yes
CVE-2019-3396,2019-03-25T20:29:01.647000+01:00,2021-12-13T17:05:54.717000+01:00,9.8,"Windows all versions, Linux all versions",No,Yes,1,Yes,https://confluence.atlassian.com/doc/confluence-security-advisory-2019-03-20-966660264.html,2021-12-13,N/A,No
CVE-2019-10149,2019-06-05T14:29:11.293000+00:00,2022-11-07T20:12:12.530000+01:00,9.8,"Ubuntu 18.04 LTS, Debian 9.0, openSUSE 15.1",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2019-10149.html,2019-06-07,N/A,No
CVE-2019-18935,2019-12-11T14:15:11.767000+01:00,2024-07-25T15:31:11.587000+01:00,9.8,Windows all versions,No,Yes,1,Yes,https://www.telerik.com/support/kb/aspnet-ajax/details/allows-javascriptserializer-deserialization,2024-07-25,N/A,No
CVE-2019-15107,2019-08-16T04:15:11.387000+01:00,2023-02-28T16:23:31.427000+01:00,9.8,"Linux all versions, Unix all versions",No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Restrict access to the Webmin interface to trusted IP addresses only.', 'Implement strong authentication mechanisms for Webmin access.'], 'immediate_containment': ['Disable the password_change.cgi script if not in use.', 'Monitor logs for any unauthorized access attempts.'], 'enhanced_monitoring': ['Set up alerts for unusual activity on the Webmin interface.', 'Regularly review access logs for suspicious entries.'], 'long_term_risk_management': ['Regularly update Webmin to the latest version to mitigate vulnerabilities.', 'Conduct periodic security assessments and penetration testing.'], 'attack_vectors': ['Unrestricted access to the Webmin interface can allow attackers to exploit the command injection vulnerability.', 'Potential for unauthorized command execution leading to system compromise.'], 'alternative_solutions': ['Consider using a different management tool that has a better security track record.', 'Implement a Web Application Firewall (WAF) to filter and monitor HTTP traffic.'], 'security_best_practices': ['Regularly back up configurations and data.', 'Educate users on security awareness and best practices.']}",Yes
CVE-2019-2725,2019-04-26T20:29:00.463000+01:00,2022-04-27T16:39:17.603000+00:00,9.8,"Windows all versions, Unix all versions, Solaris all versions",No,Yes,1,Yes,http://www.oracle.com/technetwork/security-advisory/alert-cve-2019-2725-5466295.html,2022-04-27,N/A,No
CVE-2019-6340,2019-02-21T22:29:00.343000+01:00,2020-08-24T18:37:01.140000+01:00,0.0,"Linux all versions, Windows all versions, macOS all versions",No,Yes,1,Yes,https://www.drupal.org/sa-core-2019-003,2019-02-22,N/A,No
CVE-2020-0601,2020-01-15T00:15:30.207000+01:00,2022-08-12T19:40:31.113000+01:00,8.1,Windows 10,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0601,2022-08-12,N/A,No
CVE-2020-0688,2020-02-11T23:15:15.900000+01:00,2024-02-13T18:23:13.330000+01:00,8.8,Windows Server 2010 SP3,Yes,Yes,0,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0688,2024-02-13,N/A,No
CVE-2020-0796,2020-03-12T17:15:15.627000+01:00,2022-04-22T19:02:46.300000+00:00,10.0,Windows 10 1903,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0796,2022-04-22,N/A,No
CVE-2020-10189,2020-03-06T18:15:12.383000+01:00,2022-10-07T14:42:17.567000+01:00,9.8,Windows all versions,No,Yes,1,Yes,https://www.manageengine.com/products/desktop-central/remote-code-execution-vulnerability.html,2020-03-06,N/A,No
CVE-2020-1472,2020-08-17T20:15:15.117000+01:00,2024-05-23T18:56:29.137000+01:00,5.5,"Windows all versions, openSUSE Leap 15.1, Leap 15.2, Fedora 31, 32, 33, Ubuntu 14.04, 16.04, 18.04, 20.04, Debian 9.0, Oracle 8.8, Synology all versions",Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1472,2024-05-23,N/A,No
CVE-2020-5902,2020-07-01T16:15:15.360000+01:00,2024-07-25T17:42:50.637000+01:00,9.8,"Linux all versions, Unix all versions",No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Restrict access to the Traffic Management User Interface (TMUI) to trusted IP addresses only.', 'Implement strong authentication mechanisms for accessing the TMUI.'], 'immediate_containment': ['Isolate affected systems from the network until a patch is applied.', 'Monitor logs for any unauthorized access attempts or suspicious activity.'], 'enhanced_monitoring': ['Deploy intrusion detection systems (IDS) to monitor for exploit attempts.', 'Regularly review access logs for unusual patterns or anomalies.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Conduct vulnerability assessments and penetration testing to identify weaknesses.'], 'attack_vectors': ['Exploitation of the TMUI through crafted HTTP requests to execute arbitrary commands.', 'Potential data exposure through unauthorized file reads.'], 'alternative_solutions': ['Consider using a Web Application Firewall (WAF) to filter and monitor HTTP traffic.', 'Implement network segmentation to limit the impact of potential exploits.'], 'security_best_practices': ['Regularly update and patch all software components.', 'Educate staff on security awareness and best practices.']}",Yes
CVE-2020-3452,2020-07-22T21:15:11.970000+01:00,2024-02-21T21:57:31.090000+01:00,7.5,"Cisco Adaptive Security Appliance Software all versions, Cisco Firepower Threat Defense Software all versions",No,Yes,1,No,N/A,N/A,"{'recommendations': ['Implement strict input validation to prevent directory traversal attacks.', 'Configure WebVPN and AnyConnect features with the least privilege principle.', 'Utilize a Web Application Firewall (WAF) to filter and monitor HTTP requests.', 'Regularly audit and monitor logs for suspicious activity related to file access.', 'Isolate affected systems from the network until a patch is available.'], 'technical_adjustments': ['Disable unnecessary services and features on Cisco ASA and FTD devices.', 'Apply access control lists (ACLs) to restrict access to the web services interface.'], 'long_term_risk_management': ['Establish a routine patch management process to ensure timely updates.', 'Conduct regular security assessments and penetration testing to identify vulnerabilities.'], 'attack_vectors': ['Unrestricted access to the web services interface can lead to unauthorized file access.', 'Crafted HTTP requests exploiting the lack of input validation can expose sensitive information.'], 'security_best_practices': ['Educate staff on security awareness and the importance of reporting suspicious activities.', 'Implement multi-factor authentication (MFA) for accessing sensitive systems.']}",Yes
CVE-2020-1350,2020-07-15T00:15:13.087000+01:00,2022-07-12T18:42:04.277000+01:00,10.0,Windows 2008 SP2,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1350,2022-07-12,N/A,No
CVE-2020-0796,2020-03-12T17:15:15.627000+01:00,2022-04-22T19:02:46.300000+00:00,10.0,Windows 10 1903,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0796,2022-04-22,N/A,No
CVE-2020-2555,2020-01-15T18:15:17.347000+01:00,2022-10-25T18:58:12.627000+01:00,9.8,"Windows all versions, Linux all versions, Unix all versions",No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Restrict network access to the Oracle Coherence service to trusted IP addresses only.', 'Implement firewall rules to block unauthorized T3 traffic.'], 'immediate_containment': ['Isolate affected systems from the network until a patch is applied.', 'Monitor logs for any unauthorized access attempts.'], 'enhanced_monitoring': ['Set up alerts for unusual activity on the Oracle Coherence service.', 'Regularly review access logs for suspicious behavior.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Conduct periodic security assessments to identify and mitigate vulnerabilities.'], 'attack_vectors': ['Unauthenticated remote code execution via T3 protocol.', 'Potential data exfiltration or service disruption if exploited.'], 'alternative_solutions': ['Consider using a different caching solution that does not have known vulnerabilities.', 'Implement application-level security measures to validate and sanitize inputs.'], 'security_best_practices': ['Regularly update all software components to the latest versions.', 'Conduct security training for developers to ensure secure coding practices.']}",Yes
CVE-2021-1675,2021-06-09T00:15:08.267000+01:00,2024-07-29T18:57:23.260000+01:00,7.8,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-1675,2024-07-29,N/A,No
CVE-2021-26855,2021-03-03T01:15:12.103000+01:00,2024-02-15T21:18:22.123000+01:00,9.1,Windows 2013,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26855,2024-02-15,N/A,No
CVE-2021-26857,2021-03-03T01:15:12.167000+01:00,2024-07-25T18:53:21.247000+01:00,7.8,Windows 2010 SP3,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26857,2024-07-25,N/A,No
CVE-2021-26858,2021-03-03T01:15:12.227000+01:00,2024-07-25T18:53:33.987000+01:00,7.8,Windows 2010 SP3,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26858,2024-07-25,N/A,No
CVE-2021-27065,2021-03-03T01:15:12.307000+01:00,2024-07-25T18:34:21.940000+01:00,7.8,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-27065,2024-07-25,N/A,No
CVE-2021-21985,2021-05-26T16:15:07.937000+01:00,2021-09-14T18:37:24.850000+01:00,9.8,"Linux all versions, Windows all versions",No,Yes,1,Yes,https://my.vmware.com/en/web/vmware/downloads/info/slug/datacenter_cloud_infrastructure/vmware_vsphere/7_0,2021-05-25,N/A,No
CVE-2021-28482,2021-04-13T20:15:21.577000+00:00,2023-12-29T02:15:43.337000+01:00,8.8,Windows 2012,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-28482,2023-12-29,N/A,No
CVE-2021-34473,2021-07-14T19:15:11.163000+01:00,2024-07-26T20:26:02.790000+01:00,9.1,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34473,2024-07-26,N/A,No
CVE-2021-34527,2021-07-02T23:15:08.757000+01:00,2024-02-02T18:24:01.260000+01:00,8.8,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34527,2024-02-02,N/A,No
CVE-2021-44228,2021-12-10T11:15:09.143000+01:00,2024-07-24T18:08:24.167000+01:00,10.0,"Windows all versions, Linux all versions, macOS all versions, Debian 9.0, Fedora 34, Ubuntu 10.0, Cisco all versions, VMware all versions",Yes,Yes,1,Yes,https://logging.apache.org/log4j/2.x/security.html,2024-07-24,N/A,No
CVE-2022-0185,2022-02-11T19:15:10.890000+01:00,2024-09-04T02:00:01.057000+01:00,8.4,"Linux 5.1 to 5.16, Ubuntu all versions",Yes,Yes,1,Yes,https://mysupport.netapp.com/site/downloads/firmware/system-firmware-diagnostics/download/SYSTEM/30804160_ontap/BMC_FW_308-04160_13.10P1.zip,2024-03-07,N/A,No
CVE-2022-0847,2022-03-10T18:44:57.283000+01:00,2024-07-02T18:05:01.307000+01:00,7.8,"Linux all versions, Fedora 35, Red Hat Enterprise Linux 8.0, 8.2, 8.4, Ubuntu all versions",Yes,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Restrict access to the affected systems to only trusted users.', 'Implement strict user permissions to limit unprivileged local user access.'], 'immediate_containment': ['Monitor system logs for unusual activity that may indicate exploitation attempts.', 'Isolate affected systems from the network until a patch is available.'], 'enhanced_monitoring': ['Deploy intrusion detection systems (IDS) to detect and alert on suspicious activities.', 'Regularly review user access logs and system integrity checks.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Conduct security training for users to recognize potential threats.'], 'attack_vectors': ['Unprivileged local users exploiting the flaw to escalate privileges.', 'Potential for unauthorized access to sensitive data through privilege escalation.'], 'alternative_solutions': ['Consider using alternative kernel versions that are not affected by this vulnerability.', 'Evaluate the use of virtualization to isolate critical applications from untrusted users.'], 'security_best_practices': ['Regularly update and patch all software components.', 'Implement network segmentation to limit the impact of potential exploits.']}",Yes
CVE-2022-22965,2022-04-01T23:15:13.870000+00:00,2023-02-09T03:07:02.263000+01:00,9.8,"Windows all versions, Linux all versions",No,Yes,1,No,N/A,N/A,"{'recommendations': ['Ensure that your Spring MVC or Spring WebFlux applications are not deployed as WAR files on Tomcat.', 'If using Spring Boot, deploy applications as executable JARs to avoid vulnerability.', 'Implement strict input validation to prevent malicious data binding.', 'Utilize a Web Application Firewall (WAF) to filter and monitor HTTP requests.', 'Regularly update and patch your Java Development Kit (JDK) and Spring Framework to the latest versions.', 'Conduct regular security audits and vulnerability assessments on your applications.', 'Monitor application logs for unusual activity that may indicate an attempted exploit.'], 'technical_adjustments': ['Configure your application server to restrict access to sensitive endpoints.', 'Disable unnecessary features in your application that may expose attack vectors.'], 'long_term_risk_management': ['Establish a security policy that includes regular updates and patch management.', 'Train development teams on secure coding practices to mitigate risks associated with data binding vulnerabilities.']}",Yes
CVE-2022-26134,2022-06-03T23:15:07.717000+01:00,2024-06-28T15:22:46.883000+01:00,9.8,"Windows all versions, Linux all versions, macOS all versions",No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Implement input validation to prevent OGNL injection.', 'Configure a Web Application Firewall (WAF) to filter malicious requests.'], 'immediate_containment': ['Isolate affected Confluence instances from the network until a patch is applied.'], 'enhanced_monitoring': ['Set up logging and monitoring for unusual activity on Confluence servers.', 'Regularly review logs for unauthorized access attempts.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Conduct security training for developers and administrators on secure coding practices.'], 'attack_vectors': ['Unauthenticated remote code execution via OGNL injection.', 'Potential data exfiltration or system compromise if exploited.'], 'alternative_solutions': ['Consider migrating to a more secure version of Confluence or an alternative platform.', 'Review and limit user permissions to reduce the impact of potential exploits.'], 'security_best_practices': ['Regularly audit your systems for vulnerabilities.', 'Implement a robust incident response plan to address potential breaches.']}",Yes
CVE-2022-30190,2022-06-01T21:15:07.983000+01:00,2024-06-28T15:14:37.327000+01:00,7.8,Windows 7 SP1,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-30190,2024-06-28,N/A,No
CVE-2022-26113,2022-07-19T15:15:08.440000+01:00,2022-07-27T13:40:26.787000+01:00,7.1,Windows all versions,No,Yes,1,Yes,https://fortiguard.com/psirt/FG-IR-22-044,2022-07-27,N/A,No
CVE-2022-1388,2022-05-05T17:15:10.570000+00:00,2023-11-02T02:54:15.380000+01:00,9.8,"Linux all versions, Unix all versions",No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Restrict access to the iControl REST API to trusted IP addresses only.', 'Implement strong authentication mechanisms and avoid using default credentials.'], 'immediate_containment': ['Monitor logs for unauthorized access attempts and unusual activity.', 'Isolate affected systems from the network until a patch is applied.'], 'enhanced_monitoring': ['Set up alerts for any access to the /mgmt/tm/util/bash endpoint.', 'Regularly review access logs for anomalies.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Conduct security training for staff on recognizing and responding to potential threats.'], 'attack_vectors': ['Exploitation of the authentication bypass to execute arbitrary commands.', 'Potential for remote code execution leading to full system compromise.'], 'alternative_solutions': ['Consider using a Web Application Firewall (WAF) to filter and monitor HTTP requests.', 'Implement network segmentation to limit the exposure of critical systems.'], 'security_best_practices': ['Regularly conduct vulnerability assessments and penetration testing.', 'Keep all software and dependencies up to date with the latest security patches.']}",Yes
CVE-2022-40684,2022-10-18T15:15:09.747000+01:00,2024-06-28T14:57:03.760000+01:00,9.8,"FortiOS 7.0.0 through 7.0.6, FortiProxy 7.0.0 through 7.0.6, FortiSwitchManager 7.0.0",Yes,Yes,1,Yes,https://fortiguard.com/psirt/FG-IR-22-377,2024-06-28,N/A,No
CVE-2022-20968,2022-12-12T10:15:12.613000+01:00,2024-01-25T18:15:23.477000+01:00,8.8,Cisco IP Phone 7800 Series all versions,No,Yes,1,No,N/A,N/A,"{'recommendations': ['Implement strict input validation for Cisco Discovery Protocol packets to prevent malformed packets from being processed.', 'Configure network segmentation to limit access to affected devices, ensuring that only trusted adjacent devices can communicate with them.', 'Deploy a Web Application Firewall (WAF) to monitor and filter incoming traffic for anomalies related to Cisco Discovery Protocol.', 'Regularly update and patch all Cisco IP Phone firmware to the latest versions to mitigate known vulnerabilities.', 'Conduct regular security audits and vulnerability assessments to identify and remediate potential weaknesses in the network infrastructure.'], 'technical_adjustments': ['Disable Cisco Discovery Protocol on devices where it is not necessary to reduce the attack surface.', 'Implement logging and monitoring for unusual traffic patterns that may indicate an attempted exploit of this vulnerability.'], 'long_term_risk_management': ['Establish a security policy that includes regular updates and training for staff on the importance of maintaining device security.', 'Consider implementing network access control (NAC) solutions to enforce security policies on devices connecting to the network.'], 'attack_vectors': ['An attacker could exploit this vulnerability by sending crafted Cisco Discovery Protocol traffic to an affected device, potentially leading to a stack overflow.', 'Successful exploitation may result in remote code execution or a denial of service (DoS) condition on the affected device.'], 'security_best_practices': ['Ensure that all devices are configured with the principle of least privilege, limiting access to only those who need it.', 'Regularly review and update firewall rules to block unnecessary ports and protocols.']}",Yes
CVE-2022-37969,2022-09-13T20:15:12.323000+01:00,2024-06-28T15:02:20.697000+01:00,7.8,Windows 7 SP1,Yes,Yes,1,Yes,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-37969,2024-06-28,N/A,No
CVE-2023-23397,2023-03-14T18:15:13.263000+01:00,2024-08-14T21:03:22.553000+01:00,9.8,Windows all versions,No,Yes,1,Yes,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23397,2024-08-14,N/A,No
CVE-2023-25136,2023-02-03T07:15:09.350000+01:00,2024-02-27T16:15:14.617000+01:00,6.5,"OpenBSD 7.2, Fedora 37, NetApp ONTAP 38, Linux all versions",Yes,Yes,0,Yes,https://ftp.openbsd.org/pub/OpenBSD/patches/7.2/common/017_sshd.patch.sig,2023-02-27,N/A,No
CVE-2023-27350,2023-04-20T16:15:07.653000+00:00,2024-06-27T20:30:37.747000+01:00,9.8,"Windows all versions, Linux all versions, macOS all versions",No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Restrict access to the PaperCut application to trusted IP addresses only.', 'Implement strong firewall rules to limit exposure of the application to the internet.'], 'immediate_containment': ['Disable remote access to the PaperCut application until a patch is available.', 'Monitor logs for any unauthorized access attempts and block offending IPs.'], 'enhanced_monitoring': ['Set up alerts for unusual activity on the PaperCut application.', 'Regularly review access logs for suspicious behavior.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Conduct security assessments and penetration testing on the PaperCut application.'], 'attack_vectors': ['Attackers may exploit the authentication bypass to gain unauthorized access and execute arbitrary code.', 'Ensure that all user inputs are validated to prevent injection attacks.'], 'alternative_solutions': ['Consider using a different print management solution that has a better security track record.', 'If possible, isolate the PaperCut application in a separate network segment.'], 'security_best_practices': ['Regularly update all software components and dependencies.', 'Educate users about phishing and social engineering attacks that could lead to credential theft.']}",Yes
CVE-2023-28252,2023-04-11T21:15:25.137000+00:00,2024-06-27T20:31:41.460000+01:00,7.8,"Windows 10 (1507, 1607, 1809, 20H2, 21H2, 22H2)",Yes,Yes,1,Yes,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28252,2024-06-27,N/A,No
CVE-2023-2868,2023-05-24T20:15:09.363000+01:00,2023-06-01T21:14:55.053000+01:00,9.8,Linux all versions,No,Yes,1,Yes,https://status.barracuda.com/incidents/34kx82j5n4q9,2023-08-03,N/A,No
CVE-2023-32233,2023-05-08T21:15:20.267000+01:00,2023-09-28T20:07:11.537000+01:00,7.8,"Linux all versions, Ubuntu 20.04 LTS, 18.04 LTS, 22.04 LTS, Red Hat Enterprise Linux 7.0, 8.0, 9.0",Yes,Yes,1,Yes,https://access.redhat.com/errata/RHSA-2023:3349,2023-05-30,N/A,No
CVE-2023-34362,2023-06-02T15:15:09.487000+01:00,2024-08-14T16:37:26.403000+01:00,9.8,Windows all versions,No,Yes,1,No,N/A,N/A,"{'recommendations': ['Implement input validation to prevent SQL injection attacks.', 'Use a Web Application Firewall (WAF) to filter and monitor HTTP requests.', 'Regularly audit your systems for vulnerabilities and apply security patches promptly.', 'Monitor database access logs for unusual activity and implement alerting mechanisms.', 'Restrict database permissions to limit the impact of potential exploitation.', 'Consider implementing network segmentation to isolate critical systems.'], 'technical_adjustments': ['Ensure that all user inputs are sanitized and validated before processing.', 'Configure the database to use prepared statements or stored procedures to mitigate SQL injection risks.'], 'immediate_containment': ['Isolate affected systems from the network until a patch is available.', 'Disable any unnecessary services that may expose the application to attacks.'], 'long_term_risk_management': ['Establish a regular patch management process to keep software up to date.', 'Conduct regular security training for developers on secure coding practices.'], 'attack_vectors': ['Unvalidated user inputs in web forms that interact with the database.', 'Exploitation via HTTP or HTTPS requests targeting vulnerable versions of MOVEit Transfer.'], 'additional_best_practices': ['Implement logging and monitoring solutions to detect and respond to potential threats.', 'Review and update security policies to address identified vulnerabilities.']}",Yes
CVE-2023-3519,2023-07-19T19:15:11.513000+01:00,2024-06-27T19:53:09.067000+01:00,9.8,"Unix all versions, Linux all versions",No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Restrict access to the Citrix ADC management interface to trusted IP addresses only.', 'Implement strong authentication mechanisms for accessing the Citrix ADC.'], 'immediate_containment': ['Disable any unnecessary services on the Citrix ADC to minimize attack surfaces.', 'Monitor logs for unusual access patterns or unauthorized attempts to access the system.'], 'enhanced_monitoring': ['Set up alerts for any failed login attempts or suspicious activity on the Citrix ADC.', 'Regularly review system logs for signs of exploitation attempts.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Conduct periodic security assessments and penetration testing on the Citrix ADC.'], 'attack_vectors': ['An unauthenticated attacker can exploit the vulnerability by sending specially crafted HTTP GET requests.', 'Potential consequences include remote code execution with root privileges.'], 'alternative_solutions': ['Consider using a Web Application Firewall (WAF) to filter and monitor HTTP traffic.', 'Implement network segmentation to isolate the Citrix ADC from other critical systems.'], 'security_best_practices': ['Regularly update and patch all software components to mitigate vulnerabilities.', 'Educate staff on security awareness and best practices for handling sensitive systems.']}",Yes
CVE-2023-36884,2023-07-11T20:15:09.623000+01:00,2024-06-27T19:59:51.030000+01:00,7.5,Windows 10 (all versions affected),Yes,Yes,1,Yes,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36884,2023-07-11,N/A,No
CVE-2023-42793,2023-09-19T18:15:08.330000+01:00,2023-10-03T16:44:06.660000+01:00,9.8,"Windows all versions, Linux all versions",No,Yes,1,Yes,https://www.jetbrains.com/teamcity/download/other.html,2023-09-18,N/A,No
